18-11-10 18:18:56-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50387)
18-11-10 18:18:56-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50388)
18-11-10 18:18:56-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50389)
18-11-10 18:18:56-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50390)
18-11-10 18:18:56-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50370)
18-11-10 19:03:43-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50519)
18-11-10 19:03:43-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50518)
18-11-10 19:03:43-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50522)
18-11-10 19:27:10-06  |Portal| (TCP Port 4001 Closed)
18-11-10 19:27:10-06  |Portal| (TCP Port 4006 Closed)
18-11-10 19:27:10-06  |Portal| (TCP Port 4002 Closed)
18-11-10 19:27:10-06  |Portal| (TCP Port 4000 Closed)
18-11-10 19:27:10-06  |Portal| In connectionLost of webclient
18-11-10 19:27:10-06  |Portal| Main loop terminated.
18-11-10 19:27:10-06  |Portal| Server Shut Down.
18-11-10 19:27:10-06  |Portal| Server Shut Down.
18-11-10 19:38:09-06  |Portal| Loading c:\users\pjmat\desktop\madhacks\muddev\evennia\evennia\server\portal\portal.py...
18-11-10 19:38:10-06  |Portal| Loaded.
18-11-10 19:38:10-06  |Portal| twistd 18.9.0 (c:\users\pjmat\desktop\madhacks\muddev\evenv\scripts\python.exe 2.7.15) starting up.
18-11-10 19:38:10-06  |Portal| reactor class: twisted.internet.selectreactor.SelectReactor.
18-11-10 19:38:10-06  |Portal| AMP starting on 4006
18-11-10 19:38:10-06  |Portal| Telnet starting on 4000
18-11-10 19:38:10-06  |Portal| Websocket (WebSocketFactory) starting on 4002
18-11-10 19:38:10-06  |Portal| Webserver-proxy starting on 4001
18-11-10 19:38:42-06  |Portal| Starting RFC 6455 conversation
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50619)
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50617)
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50616)
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50639)
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50640)
18-11-10 19:39:42-06  |Portal| Timing out client: IPv4Address(type='TCP', host='127.0.0.1', port=50641)
18-11-10 19:52:08-06  |Portal| (TCP Port 4001 Closed)
18-11-10 19:52:08-06  |Portal| (TCP Port 4006 Closed)
18-11-10 19:52:08-06  |Portal| (TCP Port 4002 Closed)
18-11-10 19:52:08-06  |Portal| (TCP Port 4000 Closed)
18-11-10 19:52:08-06  |Portal| In connectionLost of webclient
18-11-10 19:52:08-06  |Portal| Main loop terminated.
18-11-10 19:52:08-06  |Portal| Server Shut Down.
18-11-10 19:52:08-06  |Portal| Server Shut Down.
